City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,alofi,-19.0595,-169.9187,25.94,89,75,4.63,NU,1683237915
321,baganga,7.5739,126.56,26.03,87,55,1.6,PH,1683237915
322,launceston,-41.45,147.1667,10.64,93,75,3.6,AU,1683237915
323,velike lasce,45.8322,14.6364,9.43,92,37,1.19,SI,1683237915
324,bay roberts,47.5999,-53.2648,3.62,97,100,6.26,CA,1683237916
325,alesund,62.4723,6.1549,7.64,63,0,2.06,NO,1683237916
326,alice springs,-23.7,133.8833,6.75,81,71,2.5,AU,1683237679
327,vila franca do campo,37.7167,-25.4333,17.23,94,99,7.23,PT,1683237916
328,dalandzadgad,43.5708,104.425,4.63,71,100,4.5,MN,1683237917
329,gevrai,19.2667,75.75,28.57,46,94,0.54,IN,1683237917
330,pathein,16.7833,94.7333,27.25,75,7,3.47,MM,1683237918
331,rio preto da eva,-2.6994,-59.6997,23.32,95,97,1.24,BR,1683237918
332,mega,4.05,38.3,14.68,88,88,2.67,ET,1683237918
333,shitanjing,39.2342,106.3439,9.48,52,100,0.52,CN,1683237918
334,westport,41.1415,-73.3579,14.07,67,75,4.12,US,1683237760
335,santana,-0.0583,-51.1817,26.1,94,75,2.57,BR,1683237919
336,frankfort,-27.2667,28.4833,14.62,67,82,2.99,ZA,1683237919
337,nyurba,63.2842,118.3319,0.86,99,100,3.46,RU,1683237919
338,palangkaraya,-2.2,113.8333,23.7,98,92,0.59,ID,1683237919
339,tshela,-4.9833,12.9333,23.22,99,100,0.53,CD,1683237920
340,nar'yan-mar,67.6713,53.087,-1.6,92,100,10.62,RU,1683237920
341,constantia,44.1833,28.65,10.39,90,40,2.49,RO,1683237920
342,gamboma,-1.8764,15.8644,23.84,87,44,1.63,CG,1683237920
343,camana,-16.6228,-72.7111,20.35,78,87,3.6,PE,1683237920
344,menaka,15.9182,2.4022,35.4,17,40,2.24,ML,1683237921
345,taoudenni,22.6783,-3.9836,35.61,6,9,4.3,ML,1683237921
346,solnechnyy,50.7214,136.6319,3.37,60,12,3.55,RU,1683237921
347,kavaratti,10.5669,72.642,28.63,70,72,3.62,IN,1683237921
348,uturoa,-16.7333,-151.4333,27.99,77,82,10.7,PF,1683237922
349,dawei,14.0833,98.2,26.08,89,38,0.89,MM,1683237922
350,kauhava,63.103,23.0713,-2.04,89,24,2.14,FI,1683237922
351,makassar,-5.14,119.4221,25.03,83,20,1.03,ID,1683237923
352,yeraliyev,43.2,51.65,12.0,89,100,9.22,KZ,1683237923
353,ancud,-41.8697,-73.8203,11.22,97,100,0.94,CL,1683237761
354,ust-tsilma,65.441,52.1498,-1.35,85,75,4.78,RU,1683237923
355,al kharijah,25.4514,30.5464,28.41,11,0,1.12,EG,1683237924
356,tazacorte,28.629,-17.9293,21.54,71,40,6.69,ES,1683237924
357,nova sintra,14.8667,-24.7167,21.59,77,78,10.2,CV,1683237924
358,divnogorsk,55.9594,92.3619,-0.7,73,82,2.42,RU,1683237924
359,sirjan,29.452,55.6814,18.39,17,0,1.38,IR,1683237924
360,sandnessjoen,66.0217,12.6316,1.06,69,20,1.03,NO,1683237925
361,nikolayevsk-on-amure,53.1406,140.73,0.05,87,100,3.38,RU,1683237925
362,minot,48.2325,-101.2963,23.12,25,0,4.63,US,1683237925
363,nyandoma,61.669,40.1991,1.08,94,94,1.01,RU,1683237925
364,sao joao da barra,-21.6403,-41.0511,25.05,84,0,4.32,BR,1683237720
